github_repository_id,opening_name,closing_name,opening_class,closing_class,visibility_observed,role,assessment,priority,observed,next_action,acceptance,source_read_level,cvp_acceptance,source_ids
1271708536,PhenoGfx,PhenoGfx,active-named,active-named,public,Shared graphics/data SDK,QUALIFY CONSUMER INTEROP,P1,"The README has a focused four-module contract (Rust voxel; Unity terrain/water/postfx), but calls it scaffolding 2/10. It conditions supersession on consumer references, which is the correct kind of gate but not proof it passed.",Verify one shared data-format/FFI path into actual game consumers and map donor provenance; preserve engine-specific capabilities that are not equivalent.,"Chunk/heightfield/mesh data and error behavior agree across the real consumers, including failed persistence and missing assets; native package/ABI tests and performance budgets pass.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S261
1271786703,zz-aa-dep-PhenoMCPServers,zz-aa-dep-PhenoMCPServers,dependency,dependency,public,Deployable MCP servers/skills/plugins catalog,QUALIFY FRAMEWORK AND CONSUMER RESOLUTION,P2,"The README defines an implementations registry and legitimate catalog schema, but depends on old PhenoFastMCP locations not present in the opening roster.",Locate the actual framework package source and pins. Keep runnable server packages separate from generated catalog projections and portfolio ownership.,"One selected server installs and interoperates with a real client, including malformed requests, cancellation, permission denial and missing backend handling.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S288
1272990345,zz-tbd-PhenoApps,zz-tbd-PhenoApps,target-undecided,target-undecided,public,Unresolved collection containing the screen-time FocalPoint product,RECONCILE THE ACTUAL PRODUCT LINEAGE,P0,"On apps-extract, one README simultaneously says compilation broken, builds green, and compilation still blocks production. It describes the actual screen-time/FocalPoint app, unlike the other FocalPoint repository. Adjacent PhenoObservability is required by the documented build.",Compare actual branch/source/manifests with the separate FocalPoint ID and existing accepted product intent. Build in isolation with explicit dependencies before choosing a destination.,"Distinct capabilities, platform entitlements, private assets, data migrations and source history receive a disposition. Conflicting progress claims are replaced by one revision-specific observation.",bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S269;S277
1273002789,zz-tbd-MobileCli,zz-tbd-MobileCli,target-undecided,target-undecided,public,Mobile Next-derived device CLI under target review,KEEP FORK AND DEVICE CONTRACTS INTACT,P2,The source retains upstream mobilecli installation and device-control scope. The displayed license identifies FSL-1.1-Apache-2.0; this audit did not adjudicate its license terms or local patch delta.,Identify required Eidolon/other consumers and compare actual mobile-device operations. Review the specific license and upstream relationship before porting or productizing.,"Selected physical/emulated-device paths work with consent and correct denial behavior; independent subprocess/API boundary, patches, distribution and license obligations are recorded.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S272
1273002818,zz-aa-dep-MobileMcp,,dependency,access-unresolved,public,Mobile MCP fork/dependency with unresolved access,DO NOT CLASSIFY AS DELETED OR MIGRATED,P0,"Present in the opening cohort, its README read and stable repository-ID lookup returned 404; it is absent from the closing 61-ID list.","Have the authorized owner resolve access/transfer/removal and report the actual successor, consumers and preserved source receipts. Do not synthesize a successful migration.",Identity and custody are established by authorized evidence; every current consumer either resolves the retained dependency or is explicitly blocked.,inventory-and-access-failures,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,OBS-OPEN;OBS-CLOSE;OBS-404;W01
1284536541,zz-pause-SessionLedger,zz-inc-SessionLedger,paused,incubation-named,public,Session provenance/archive tool; incubation-name transition,PRESERVE DATA CONTRACT; RECONCILE ROLE,P2,"The closing name is zz-inc-SessionLedger, but the refreshed header still says long pause. The retained tool advertises daemon, archive, replay and Dioxus viewer with some publication channels unfinished.",Bind any revival to an explicit scoped decision. Consumers may use a qualified retained version without requiring a whole new product release; protect private captures and credential boundaries.,Actual archive/restore and provenance verification retain session fidelity; live versus recorded state is distinct; paused obligations and new development permissions are explicit.,bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S279;S320;OBS-CLOSE
1308558334,zz-pause-ResearchLedger,zz-inc-ResearchLedger,paused,incubation-named,public,Local-first research/vault app; incubation-name transition,PRESERVE VAULTS; VERIFY THE NEW CHARTER,P2,"Earlier paused source describes a Tauri app with local Markdown/SQLite, browser captures and credential handling. Closing name is zz-inc-ResearchLedger; no live app or new charter was validated.",Locate the accepted incarnation/owner decision; keep captures private and avoid mandatory dependencies from every product onto unfinished research integrations.,"Existing vault/import/export contracts remain readable and recoverable. New browser/native operations require consent, scoped fixtures and actual evidence.",bounded-root-plus-selected-source,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S280;OBS-CLOSE
1308570444,CivicSurvival-public,CivicSurvival-public,active-named,active-named,public,Public source/docs surface for a distributed CS2 mod,QUALIFY THE DISTRIBUTED MOD; RESPECT THE BOUNDARY,P1,The README explicitly says private generators and server sources are omitted and this public snapshot is not independently buildable. It advertises Paradox Mods distribution and warns beta saves are not version-stable.,Trace the published player artifact to its qualified build and verify the actual mod journey. Do not invent the missing private components or count their absence as an accidental public build regression.,"Supported game install, onboarding, crisis mechanics, actual privacy defaults, declared save migration/limitations and uninstall behavior are demonstrated. Public-source transparency is not sufficient correctness evidence.",bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S262
1315997929,zz-aa-dep-TurboQuant,zz-aa-dep-TurboQuant,dependency,dependency,public,KV-cache compression research/engine dependency,"VERIFY LOCAL APPLICABILITY, NOT JUST UPSTREAM CLAIMS",P2,The README carries extensive upstream adoption and quality/performance claims. Those experiments and external PRs were not re-executed or independently verified in this pass.,Identify the exact codec/backend/model profile used by your products and reproduce bounded quality plus memory/latency evidence before adopting a default.,"Matched baseline shows reported quality/performance tradeoffs on real hardware; failure/OOM behavior, format compatibility and attribution are explicit.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S290
1319179066,AirLock,zz-aa-dep-AirLock,active-named,dependency,public,No-mistakes-derived Git publication gate,TRANSITIONED TO DEPENDENCY DURING AUDIT,P1,Initial inventory placed AirLock among the 30 unprefixed names. During this pass its stable ID resolved to zz-aa-dep-AirLock. The README remains the no-mistakes proxy/worktree pipeline with upstream installation.,Record the ID-preserving role change and actual consumers. Retain the fork under dependency rules; verify the publication gate before relying on it for lifecycle safety.,Known-invalid candidate is not forwarded; dirty user work remains intact; interrupted operations reconcile outcomes before retry; permissions and provider failures cannot be treated as passes.,bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S268;S266
1322607630,ghostty,ghostty,active-named,active-named,public,Terminal emulator fork / embeddable terminal dependency,QUALIFY OWNED DELTA AND CHANNEL,P1,"The README prepends a fork note but retains upstream download links and maturity claims. Those establish the referenced upstream story, not a measured quality level for this fork.",List intentional patches and decide whether this is an independently distributed terminal or an embeddable dependency. Trace terminal-fabric work to its current accepted home rather than assuming it vanished.,Installed owned build passes terminal/input/render/clipboard/session cases for its supported platform; embedded use has a versioned contract; upstream and fork update channels cannot silently switch.,bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S263
1328507619,zz-aa-dep-PhenoUnslothStudio,zz-aa-dep-PhenoUnslothStudio,dependency,dependency,public,Local training/inference studio fork dependency,KEEP THE FORK/CONSUMER BOUNDARY CLEAR,P2,The dependency header retains the upstream Unsloth Studio description and assets; it is not evidence of a separately qualified Phenotype product.,Record intentional changes and a clean install path for the real model workflow using this fork. Do not fabricate branding or original performance ownership.,"A safe bounded train/infer/export flow succeeds with required versions, resources, model/data permissions and clear failure behavior.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S291
1330430083,zz-aa-dep-CompoundSpheres3D,zz-aa-dep-CompoundSpheres3D,dependency,dependency,public,WorldSphereMod rendering dependency,VERIFY THREE-SOURCE MERGE AT THE CONSUMER,P2,The README calls it canonical and describes a three-source merge with upstream and WSM3D renderer lineage. Those claims need more than source folder presence.,Resolve submodule/assembly pins and check the intended terrain/height-field/culling behavior in the actual game build.,"Selected source capabilities, assets and ABI are retained; render correctness/performance and failure cases pass against the known working baseline.",bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S292
1349458262,KooshaPari,KooshaPari,active-named,active-named,public,Profile / public portfolio consumer,PUBLISH ONLY CURRENT VERIFIED CLAIMS,P1,The profile links several renamed or absent products and advertises 101 merged OmniRoute PRs/rank #5. This pass did not reverify those statistics. Tracera is still positioned as audit infrastructure rather than the clarified product graph.,Generate the public selection from approved product identity and bounded evidence; preserve historical achievements as dated claims rather than advertising deleted download routes as current.,All public destinations resolve to the intended product or historical note; contribution metrics have exact query/window provenance; public build has no private data; landing/docs/app domains are tested.,bounded-root,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S264
1363521465,PhenoFabric,PhenoFabric,active-named,active-named,public,Distributed compute/data/I-O graph runtime,REPAIR DEPENDENCY; PROVE A REAL ROUTE,P0,"The root remains the original research/planning baseline while Cargo lists substantial implementation including GUI/TUI/capture/transport. Its NVMS adapter still fetches KooshaPari/nanovms, unavailable by old name and ID in this connection. Latest stable release endpoint returned 404.","Verify the manifest/runtime successor by API and provenance, not matching crate name. Resolve dependencies, then demonstrate one real producer-consumer path and publish its actual profile.","Clean reproducible build, authenticated two-node surface or task route, cancellation/reconnect, bounded contention and appropriate same-host fast path. GUI shell existence does not prove remoting or compute meshing.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S247;S234;S235
1365855438,jcode,jcode,active-named,active-named,public,Coding-agent harness fork,QUALIFY INSTALL AND DESTRUCTIVE-ACTION BOUNDARIES,P0,"Latest GitHub fork release v0.85.0-k1.0.0 exists (September 15), but its observed attached asset list contains only a FreeBSD x86_64 archive. README install/update paths still predominantly point at upstream jcode.sh, while manual download points to this fork.",Prove the exact fork installation/update path on the actual Mac and Windows hosts. Preserve successful connection/subagent work while making irreversible actions depend on explicit external authority.,"Installed digest/version matches tested fork; SSE loss and child restart do not duplicate actions; state survives update; scope/approval controls reject unauthorized deletion, force push and admin merge.",bounded-root-plus-selected-source,NOT_INDEPENDENTLY_QUALIFIED_IN_THIS_PASS,S265;S308
1369043600,zz-tbd-PhenoSDKs,zz-tbd-PhenoSDKs,target-undecided,target-undecided,private,Unresolved shared SDK/observability collection,PRESERVE PACKAGES; DECIDE OWNERSHIP BY CONSUMERS,P2,The README says target undecided and lists Go SDK plus observability. Presence in a collection does not establish a compatible new package/versioning home.,"List module/import identities, real consumers, release obligations and provenance. Choose existing product or foundation owners by contract; avoid another generic utilities repository.",Clean consumers resolve exact versions without old relative paths; package namespaces and licenses survive; old identifiers have deliberate compatibility treatment.,bounded-root,ROLE_SPECIFIC_CUSTODY_OR_CONSUMER_GATES; NOT_PRODUCT_CERTIFICATION,S270
